violation_id,date,violation_type,zone,time_of_day,fine_amount,paid,vehicle_type,repeat_offender,day_of_week
1,2023-07-12,Handicap,Residential,Morning,50.0,True,Car,False,Sunday
2,2023-11-22,No Parking Zone,Commercial,Afternoon,25.0,True,Truck,False,Wednesday
3,2023-05-21,Handicap,Commercial,Morning,50.0,True,Car,True,Friday
4,2023-09-25,No Parking Zone,Residential,Morning,100.0,True,Car,True,Tuesday
5,2023-04-14,Expired Meter,Downtown,Afternoon,75.0,False,Car,False,Thursday
6,2023-12-30,Expired Meter,Residential,Night,75.0,True,Car,False,Tuesday
7,2023-10-18,Fire Hydrant,Downtown,Afternoon,25.0,False,Car,False,Saturday
8,2023-03-05,Expired Meter,Commercial,Morning,75.0,True,Car,False,Saturday
9,2023-02-26,Handicap,Commercial,Morning,50.0,False,Car,False,Friday
10,2023-02-09,Expired Meter,Commercial,Afternoon,25.0,True,Truck,False,Sunday
11,2023-09-06,Expired Meter,Residential,Afternoon,25.0,True,SUV,True,Friday
12,2023-07-08,Expired Meter,Industrial,Afternoon,25.0,False,Car,False,Sunday
13,2023-10-15,No Parking Zone,Industrial,Night,50.0,True,Truck,False,Saturday
14,2023-11-05,Handicap,Downtown,Afternoon,50.0,False,Car,False,Friday
15,2023-03-08,No Parking Zone,Residential,Morning,25.0,False,Truck,False,Tuesday
16,2023-09-18,No Parking Zone,Downtown,Afternoon,,True,Car,False,Saturday
17,2023-07-10,No Parking Zone,Downtown,Evening,75.0,False,Car,True,Friday
18,2023-06-17,No Parking Zone,Residential,Evening,,True,Truck,True,Saturday
19,2023-07-18,Street Cleaning,Commercial,Evening,100.0,False,Car,False,Saturday
20,2023-06-06,Street Cleaning,Residential,Morning,50.0,True,SUV,False,Friday
21,2023-12-26,Fire Hydrant,Residential,Evening,100.0,True,SUV,False,Wednesday
22,2023-02-17,Fire Hydrant,Residential,Morning,25.0,False,Truck,False,Friday
23,2023-11-21,Street Cleaning,Commercial,Morning,25.0,False,Car,False,Tuesday
24,2023-04-10,Expired Meter,Commercial,Morning,25.0,True,Car,True,Friday
25,2023-09-20,Expired Meter,Residential,Morning,50.0,True,Car,False,Friday
26,2023-06-11,Handicap,Residential,Morning,50.0,False,Car,False,Sunday
27,2023-03-10,Fire Hydrant,Downtown,Evening,50.0,True,Car,False,Thursday
28,2023-05-29,Expired Meter,Residential,Evening,25.0,True,Car,False,Wednesday
29,2023-04-17,Expired Meter,Commercial,Afternoon,25.0,True,Motorcycle,False,Thursday
30,2023-08-16,Expired Meter,Residential,Afternoon,50.0,False,Truck,False,Tuesday
31,2023-07-12,Street Cleaning,Downtown,Morning,25.0,False,SUV,False,Sunday
32,2023-12-11,No Parking Zone,Commercial,Afternoon,50.0,True,Car,False,Thursday
33,2023-10-09,Street Cleaning,Downtown,Morning,,True,Car,False,Monday
34,2023-02-12,No Parking Zone,Commercial,Afternoon,75.0,True,Truck,True,Saturday
35,2023-08-08,Expired Meter,Residential,Morning,25.0,True,Truck,False,Sunday
36,2023-08-26,Expired Meter,Residential,Afternoon,50.0,True,Car,False,Sunday
37,2023-04-17,Fire Hydrant,Residential,Night,50.0,False,Motorcycle,False,Tuesday
38,2023-04-19,No Parking Zone,Commercial,Morning,100.0,True,Car,False,Tuesday
39,2023-06-27,Fire Hydrant,Commercial,Morning,25.0,False,Car,False,Sunday
40,2023-09-02,No Parking Zone,Downtown,Afternoon,50.0,False,Car,False,Tuesday
41,2023-06-03,Handicap,Residential,Morning,25.0,True,SUV,False,Saturday
42,2023-06-10,Expired Meter,Residential,Morning,50.0,True,Car,False,Monday
43,2023-11-28,Expired Meter,Commercial,Morning,75.0,False,Truck,False,Sunday
44,2023-11-24,Fire Hydrant,Downtown,Afternoon,50.0,False,SUV,False,Monday
45,2023-03-12,Expired Meter,Commercial,Afternoon,50.0,False,Car,False,Friday
